เลขทะเบียน,ISBN,ผู้แต่ง,ผู้แต่ง(นิติบุคคล),ชื่อเรื่อง,ชื่อเรื่องที่แตกต่าง,ชื่อผู้แปล /ผู้รวบรม,เลขหมู่,เลขประจำหนังสือ,ครั้งที่พิมพ์,สถานที่พิมพ์,สำนักพิมพ์,จำนวนหน้า,ภาพประกอบ,หัวเรื่อง
,978-616-7793-35-1,นพ.ธีรภัทร์  พุ่มพวง,,ห้องผ่าตัด No.9-2,,,617.02,ธ-ห,,กรุงเทพฯ,ต้นมะนาว พับลิชชิง,159,,ห้องผ่าตัด
,974-8207-00-5,อภิญญา รัตนมงคลมาศ,,ฅนไทยกับการเมือง:ปิติฤาวิปโยค,,,320.9593,อ-ฅ,,กรุงเทพฯ,สถาบันนโยบายการศึกษา,224,,ไทยการเมืองการปกครอง
,978-616-303-165-5,อัยยา,,กรงรักมัจจุราช,,,น,อ-ก,,กรุงเทพฯ,ธราธร,317,,นวนิยายไทย
,978-616-520-502-3,เมธวิน,,Fake เสแสร้ง แกล้งตาย ,,,น,ม-ส,,กรุงเทพฯ,อมรินทร์ บุ๊คส์,268,,นวนิยายไทย
,978-974-02-1484-7,หนุ่มเมืองจันทร์,,ทางของเรา ต้องก้าวเอง,,,158.1,ห-ท,,กรุงเทพฯ,มติชน,232,,จิตวิทยาประยุกต์
,978-974-02-1763-3,ท็อฟฟี่  แบรดชอว์,,ผู้นำคนนั้นสอนให้รู้ว่า,,,658.4092,ท-ผ,,กรุงเทพฯ,มติชน,296,,ผู้นำ
,978-616-7793-34-4,ธนพันธ์  ชูบุญเปลี่ยนไปเรื่อยๆ,,เรื่องเล่าของหมอสูติ หมอกลัวผี,,,รส.,ธ-ร,,กรุงเทพฯ,ต้นมะนาวพับลิชชิ่ง,204,,เรื่องสั้น
,978-616-04-4819-7,กอมโดริ  คัมพานี,,แก็งซ่าท้าทดลอง 1 ความลับของสารเคมี,,,741.5,ก-ก,,กรุงเทพฯ,นานมีบุ๊คส์,215,,การ์ตูน
,978-974-02-1460-1,ครูเปิ้ล สุดารัตน์  ศรีสุรกานต์,,Mind Direct กำกับใจให้ชนะทุกอย่างของชีวิต,,,158.1,ส-ก,,กรุงเทพฯ,มติชน,136,,จิตวิทยาปัจเจกบุคคล
,978-616-588-732-8,ศักดิ์ศิริ  มีสมสืบ,,บทกวี กองฟืนคืนหนาว,,,895.911,ศ-ก,,กรุงเทพฯ,ส.เอเซียเพลส,96,,กวีนิพนธ์
,978-616-588-732-8,ศักดิ์ศิริ  มีสมสืบ,,บทกวี กองฟืนคืนหนาว,,,895.911,ศ-ก,,กรุงเทพฯ,ส.เอเซียเพลส,96,,กวีนิพนธ์
,978-616-588-732-8,ศักดิ์ศิริ  มีสมสืบ,,บทกวี กองฟืนคืนหนาว,,,895.911,ศ-ก,,กรุงเทพฯ,ส.เอเซียเพลส,96,,กวีนิพนธ์
,978-616-588-732-8,ศักดิ์ศิริ  มีสมสืบ,,บทกวี กองฟืนคืนหนาว,,,895.911,ศ-ก,,กรุงเทพฯ,ส.เอเซียเพลส,96,,กวีนิพนธ์
,978-616-91842-8-7,ปภาพินท์  วีระภุชงค์,,แล้ววันหนึ่งเราจะเติบโต,,,152,ป-ล,,กรุงเทพฯ,ไทยคูนแบรนด์เอจ,273,,จิตวิทยาการพัฒนาตนเอง
,978-616-06-1034-1,เจ้าหญิงผู้เลอโฉม,,Foxy Pilot เจ้าหญิงจอมแสบแอบชิงหัวใจนักบินขี้เบื่อ,,,น,จ-จ,,กรุงเทพฯ,แจ่มใส,257,,นวนิยาย
,978-616-06-1034-1,เจ้าหญิงผู้เลอโฉม,,Foxy Pilot เจ้าหญิงจอมแสบแอบชิงหัวใจนักบินขี้เบื่อ,,,น,จ-จ,,กรุงเทพฯ,แจ่มใส,257,,นวนิยาย
,978-616-06-1034-1,เจ้าหญิงผู้เลอโฉม,,Foxy Pilot เจ้าหญิงจอมแสบแอบชิงหัวใจนักบินขี้เบื่อ,,,น,จ-จ,,กรุงเทพฯ,แจ่มใส,257,,นวนิยาย
,978-616-06-1802-6,PloyPink,,Sexy Cherry ติวฉากรักตกหลุมกับดักเสน่ห์เหลือร้าย,,,น,พ-ต,,กรุงเทพฯ,แจ่มใส,236,,นวนิยาย
,978-616-06-1802-6,PloyPink,,Sexy Cherry ติวฉากรักตกหลุมกับดักเสน่ห์เหลือร้าย,,,น,พ-ต,,กรุงเทพฯ,แจ่มใส,236,,นวนิยาย
,978-616-06-1802-6,PloyPink,,Sexy Cherry ติวฉากรักตกหลุมกับดักเสน่ห์เหลือร้าย,,,น,พ-ต,,กรุงเทพฯ,แจ่มใส,236,,นวนิยาย
,978-974-287-459-9,ลูกชุบ,,Triple Nine Apartment เกมรักนี้ไม่มีถอย,,,น,ล-ก,,กรุงเทพฯ,แจ่มใส,210,,นวนิยาย
,978-974-287-459-9,ลูกชุบ,,Triple Nine Apartment เกมรักนี้ไม่มีถอย,,,น,ล-ก,,กรุงเทพฯ,แจ่มใส,210,,นวนิยาย
,978-611-06-0032-3,ลูกชุบ,,Black Romeo พิสูจน์รักร้ายหัวใจต้องห้าม,,,น,ล-พ,,กรุงเทพฯ,แจ่มใส,192,,นวนิยาย
,978-611-06-0032-3,ลูกชุบ,,Black Romeo พิสูจน์รักร้ายหัวใจต้องห้าม,,,น,ล-พ,,กรุงเทพฯ,แจ่มใส,192,,นวนิยาย
,978-611-06-0032-3,ลูกชุบ,,Black Romeo พิสูจน์รักร้ายหัวใจต้องห้าม,,,น,ล-พ,,กรุงเทพฯ,แจ่มใส,192,,นวนิยาย
,978-616-06-1001-3,ลวิตร์,,Blood Redemtion พันธนาการ สองเผ่าพันธ์,,,น,ล-พ,,กรุงเทพฯ,เอ็นเธอร์บุ๊คส์,254,,นวนิยาย
,978-616-06-1001-3,ลวิตร์,,Blood Redemtion พันธนาการ สองเผ่าพันธ์,,,น,ล-พ,,กรุงเทพฯ,เอ็นเธอร์บุ๊คส์,254,,นวนิยาย
,978-616-06-1558-2,Jame Carol,,เชือดร่างสร้างหุ่น,,,น,จ-ช,,กรุงเทพฯ,เอ็นเธอร์บุ๊คส์,254,,นวนิยาย
,978-616-06-1618-3,Yu Wo ,,1/2 Prince  Vol.1 ตอน เปิดฉากตำนาน,,,น,ย-ห,,กรุงเทพฯ,เอ็นเธอร์บุ๊คส์,207,,นวนิยาย
,978-616-06-1618-3,Yu Wo ,,1/2 Prince  Vol.1 ตอน เปิดฉากตำนาน,,,น,ย-ห,,กรุงเทพฯ,เอ็นเธอร์บุ๊คส์,207,,นวนิยาย
